2020-12-22 17:36:11 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:13 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:16 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:16 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:17 INFO  Logger:24 - Miss up
2020-12-22 17:36:17 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:18 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:20 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:24 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:26 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:27 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:29 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:33 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:35 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:37 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:37 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:37 INFO  Logger:24 - Waiting for disappear : Battle field disabled
2020-12-22 17:36:39 INFO  Logger:24 - Waiting for disappear : Battle field disabled
